region_id,region_ja,pref_id,pref_ja,pref_en,lat,lon
01,北海道,01,北海道,Hokkaido,43.064359,141.347449
02,東北,02,青森県,Aomori,40.824294,140.740054
02,東北,03,岩手県,Iwate,39.70353,141.152667
02,東北,04,宮城県,Miyagi,38.268737,140.872183
02,東北,05,秋田県,Akita,39.718175,140.103356
02,東北,06,山形県,Yamagata,38.240127,140.362533
02,東北,07,福島県,Fukushima,37.750146,140.466754
04,北関東・甲信,08,茨城県,Ibaraki,36.341817,140.446796
04,北関東・甲信,09,栃木県,Tochigi,36.56575,139.883526
04,北関東・甲信,10,群馬県,Gunma,36.391205,139.060917
03,南関東,11,埼玉県,Saitama,35.857771,139.647804
03,南関東,12,千葉県,Chiba,35.604563,140.123179
03,南関東,13,東京都,Tokyo,35.689185,139.691648
03,南関東,14,神奈川県,Kanagawa,35.447505,139.642347
05,北陸,15,新潟県,Niigata,37.901699,139.022728
05,北陸,16,富山県,Toyama,36.695274,137.211302
05,北陸,17,石川県,Ishikawa,36.594729,136.62555
05,北陸,18,福井県,Fukui,36.06522,136.221641
04,北関東・甲信,19,山梨県,Yamanashi,35.665102,138.568985
04,北関東・甲信,20,長野県,Nagano,36.651282,138.180972
06,東海,21,岐阜県,Gifu,35.39116,136.722204
06,東海,22,静岡県,Shizuoka,34.976987,138.383057
06,東海,23,愛知県,Aichi,35.180247,136.906698
06,東海,24,三重県,Mie,34.730547,136.50861
07,近畿,25,滋賀県,Shiga,35.004532,135.868588
07,近畿,26,京都府,Kyoto,35.0209962,135.7531135
07,近畿,27,大阪府,Osaka,34.686492,135.518992
07,近畿,28,兵庫県,Hyogo,34.69128,135.183087
07,近畿,29,奈良県,Nara,34.685296,135.832745
07,近畿,30,和歌山県,Wakayama,34.224806,135.16795
08,中国,31,鳥取県,Tottori,35.503463,134.238258
08,中国,32,島根県,Shimane,35.472248,133.05083
08,中国,33,岡山県,Okayama,34.66132,133.934414
08,中国,34,広島県,Hiroshima,34.396033,132.459595
08,中国,35,山口県,Yamaguchi,34.185648,131.470755
09,四国,36,徳島県,Tokushima,34.065732,134.559293
09,四国,37,香川県,Kagawa,34.34014,134.04297
09,四国,38,愛媛県,Ehime,33.841649,132.76585
09,四国,39,高知県,Kochi,33.55969,133.530887
10,九州,40,福岡県,Fukuoka,33.606767,130.418228
10,九州,41,佐賀県,Saga,33.249367,130.298822
10,九州,42,長崎県,Nagasaki,32.744542,129.873037
10,九州,43,熊本県,Kumamoto,32.790385,130.742345
10,九州,44,大分県,Oita,33.2382,131.612674
10,九州,45,宮崎県,Miyazaki,31.91109,131.423855
10,九州,46,鹿児島県,Kagoshima,31.560219,130.557906
11,沖縄,47,沖縄県,Okinawa,26.211538,127.681115